promotion_id,order_id,promo_code,discount_amount
900013,506919,BUNDLE20,108.02
901796,528913,LOYALTY10,188.92
902045,514073,REFERRAL5,34.33
901497,526967,REFERRAL5,58.22
901740,528618,VIP30,40.56
901267,522095,WELCOME15,108.41
902372,521274,WELCOME15,54.14
900116,508194,WELCOME15,175.44
902626,508718,LOYALTY10,101.15
902429,522613,REFERRAL5,106.42
901535,517472,SPRING10,105.51
901958,509119,WELCOME15,148.49
900904,527408,FLASH25,16.28
901912,518898,SPRING10,88.28
901438,503710,LOYALTY10,45.88
901350,521835,REFERRAL5,10.51
901139,519198,LOYALTY10,75.18
902733,510730,VIP30,108.41
900414,521549,LOYALTY10,81.53
902504,500647,VIP30,121.05
901564,511688,VIP30,77.83
901001,504803,BUNDLE20,18.59
900939,504619,SPRING10,61.73
902261,520698,FLASH25,12.27
901694,509200,REFERRAL5,128.16
900195,524757,REFERRAL5,64.74
901073,519342,REFERRAL5,84.28
900705,504343,BUNDLE20,189.73
902096,521360,BUNDLE20,81.27
900976,511443,REFERRAL5,195.29
902244,524324,VIP30,79.5
902233,521762,BUNDLE20,32.03
900770,524396,LOYALTY10,123.63
901703,520348,FLASH25,23.2
900518,503361,VIP30,191.01
901221,503557,LOYALTY10,40.12
901291,515129,FLASH25,36.24
900069,518263,SPRING10,193.87
902132,522928,WELCOME15,135.6
900619,519660,FLASH25,68.06
901729,507743,REFERRAL5,108.39
901357,514366,BUNDLE20,95.53
901436,512210,FLASH25,84.34
900134,521175,SPRING10,186.73
900664,510405,BUNDLE20,176.31
900826,509937,WELCOME15,61.73
901347,514453,REFERRAL5,92.58
900220,528200,BUNDLE20,134.78
902050,522622,REFERRAL5,93.54
902090,506369,REFERRAL5,29.75
902760,520202,REFERRAL5,90.15
900834,519134,SPRING10,21.97
902273,528472,REFERRAL5,131.03
901712,516348,VIP30,190.53
901678,510107,LOYALTY10,42.25
900172,512238,VIP30,56.71
902031,519333,FLASH25,110.55
900478,522565,BUNDLE20,30.72
901858,526572,WELCOME15,179.41
900604,525552,SPRING10,130.1
900614,502550,SPRING10,56.45
901893,523665,REFERRAL5,118.25
901834,511637,LOYALTY10,13.84
902359,502955,VIP30,53.58
900395,521773,WELCOME15,45.12
901050,510952,SPRING10,180.64
902487,508873,FLASH25,86.07
900183,502548,SPRING10,126.25
901184,502874,REFERRAL5,29.99
902234,521762,LOYALTY10,119.76
902306,525679,WELCOME15,23.68
902480,501948,WELCOME15,84.08
901737,509902,VIP30,155.13
902717,507084,VIP30,131.55
901151,517648,SPRING10,116.94
902061,515116,FLASH25,109.8
901142,519199,BUNDLE20,46.63
901349,504611,WELCOME15,85.64
900992,525522,WELCOME15,26.64
900612,505721,FLASH25,167.75
900233,520688,FLASH25,157.54
901538,517255,VIP30,195.39
900318,505432,LOYALTY10,141.88
900147,501660,FLASH25,139.09
900348,526114,WELCOME15,128.48
901158,501023,BUNDLE20,82.89
900602,526510,SPRING10,38.67
900354,520570,BUNDLE20,198.13
901543,502780,LOYALTY10,66.99
901185,516468,REFERRAL5,66.85
901976,529976,BUNDLE20,182.9
902301,518613,LOYALTY10,98.76
902561,504335,SPRING10,103.48
901835,501705,VIP30,86.56
900443,521333,FLASH25,77.55
902262,520698,SPRING10,35.94
900481,525768,SPRING10,67.02
901487,507105,VIP30,130.54
900231,520795,REFERRAL5,91.61
900669,505340,LOYALTY10,161.03
901779,526678,VIP30,175.0
902751,526740,LOYALTY10,13.89
901614,509773,VIP30,31.73
900171,500334,LOYALTY10,182.66
901442,505152,BUNDLE20,12.96
900507,519472,SPRING10,49.38
901887,528277,BUNDLE20,90.76
902586,528590,SPRING10,25.4
900690,509517,BUNDLE20,147.99
900954,501963,REFERRAL5,149.09
901987,522151,REFERRAL5,10.28
901648,509325,BUNDLE20,116.04
900522,512979,WELCOME15,62.46
900872,507715,WELCOME15,79.23
902812,510969,BUNDLE20,116.87
902647,516722,BUNDLE20,86.83
900379,513686,VIP30,138.39
901558,520681,WELCOME15,193.61
902764,501489,REFERRAL5,28.94
902593,508557,WELCOME15,145.25
900721,517204,FLASH25,87.41
902773,501187,BUNDLE20,109.33
901294,519507,VIP30,38.89
902526,504750,REFERRAL5,80.45
902114,500807,REFERRAL5,131.62
902714,524439,REFERRAL5,42.81
900560,501743,FLASH25,106.23
902709,524959,SPRING10,140.11
900282,507643,BUNDLE20,87.86
900164,529196,BUNDLE20,114.67
901261,501411,LOYALTY10,163.67
900785,505399,VIP30,171.24
901401,503320,REFERRAL5,83.11
901681,512442,WELCOME15,131.86
902212,523518,SPRING10,143.58
900438,501563,WELCOME15,171.46
900623,515082,FLASH25,152.18
902150,515989,FLASH25,86.03
902055,509064,FLASH25,38.81
900361,513662,BUNDLE20,127.61
901804,528989,FLASH25,151.41
900465,528950,REFERRAL5,172.38
901166,508571,BUNDLE20,144.89
901988,525321,REFERRAL5,52.94
901749,502382,VIP30,80.11
901661,512698,FLASH25,100.14
900654,523707,BUNDLE20,161.06
901263,507309,BUNDLE20,21.95
900790,509310,BUNDLE20,123.85
902374,509222,FLASH25,109.92
902349,521045,VIP30,49.06
902676,525283,VIP30,119.52
901107,522996,LOYALTY10,114.31
900520,529571,REFERRAL5,120.16
902208,522577,BUNDLE20,126.88
900909,504300,WELCOME15,31.94
900730,525251,SPRING10,116.67
901755,500022,VIP30,199.29
901065,513718,BUNDLE20,84.88
900682,518038,FLASH25,109.9
900187,525516,VIP30,158.47
902204,502848,VIP30,74.2
900433,513203,FLASH25,80.04
900396,511568,LOYALTY10,120.25
901131,513222,FLASH25,191.02
900232,519148,BUNDLE20,12.36
901066,506521,SPRING10,155.71
900611,509280,VIP30,127.51
901736,516791,WELCOME15,104.27
901191,501584,SPRING10,28.69
900048,516563,LOYALTY10,169.89
900279,504953,SPRING10,173.51
900782,528099,FLASH25,189.11
902562,504335,FLASH25,122.21
902172,524109,VIP30,44.55
901168,528104,LOYALTY10,187.7
900570,527671,WELCOME15,151.1
900464,502222,FLASH25,58.62
900870,524895,REFERRAL5,133.76
900228,528911,BUNDLE20,178.42
900179,514191,WELCOME15,130.76
900453,513037,LOYALTY10,151.74
901359,522258,WELCOME15,32.07
902323,509885,SPRING10,106.84
901403,522026,BUNDLE20,119.43
900963,518062,WELCOME15,126.27
901815,520065,LOYALTY10,101.11
901758,517151,LOYALTY10,116.64
902214,515142,WELCOME15,81.21
901435,515508,FLASH25,44.41
900178,527741,VIP30,44.2
900184,518888,WELCOME15,149.86
901421,510136,REFERRAL5,102.62
900867,524430,BUNDLE20,105.23
901311,511138,WELCOME15,111.78
901037,508322,SPRING10,192.93
902299,502322,VIP30,146.37
901457,501976,WELCOME15,76.5
902599,506861,REFERRAL5,55.69
902498,506832,VIP30,37.64
900853,526993,VIP30,138.84
902636,512180,BUNDLE20,21.44
901325,522572,BUNDLE20,71.49
902492,507151,LOYALTY10,30.36
901860,506974,BUNDLE20,103.58
902041,521598,WELCOME15,137.85
902452,511359,SPRING10,102.13
900860,524902,LOYALTY10,148.6
901233,509539,FLASH25,125.09
900933,502830,WELCOME15,87.32
901298,524654,LOYALTY10,25.76
901187,514224,REFERRAL5,118.94
901999,513198,BUNDLE20,47.23
901423,502965,BUNDLE20,54.42
902021,500827,SPRING10,76.25
900203,518825,VIP30,115.17
902235,514185,FLASH25,114.79
900033,500397,BUNDLE20,39.39
900607,523226,FLASH25,78.91
902488,508873,REFERRAL5,12.75
900753,500793,FLASH25,167.31
900474,529253,LOYALTY10,51.59
900346,506133,SPRING10,177.11
900109,528028,REFERRAL5,109.8
