order_id,customer_id,order_date,amount,status
o1,1,2025-01-04,71.20,completed
o2,2,2025-02-07,82.40,completed
o3,3,2025-03-10,93.60,completed
o4,4,2025-04-13,104.80,completed
o5,5,2025-05-16,116.00,completed
o6,6,2025-06-19,127.20,completed
o7,1,2025-01-22,138.40,completed
o8,2,2025-02-25,149.60,completed
o9,3,2025-03-01,160.80,refunded
o10,4,2025-04-04,172.00,completed
o11,5,2025-05-07,183.20,cancelled
o12,6,2025-06-10,194.40,completed
o13,1,2025-01-13,205.60,completed
o14,2,2025-02-16,216.80,completed
o15,3,2025-03-19,228.00,completed
o16,4,2025-04-22,239.20,completed
o17,5,2025-05-25,250.40,completed
o18,6,2025-06-01,261.60,refunded
o19,1,2025-01-04,272.80,completed
o20,2,2025-02-07,284.00,completed
o21,3,2025-03-10,295.20,completed
o22,4,2025-04-13,306.40,cancelled
o23,5,2025-05-16,317.60,completed
o24,6,2025-06-19,328.80,completed
o25,1,2025-01-22,340.00,completed
o26,2,2025-02-25,351.20,completed
o27,3,2025-03-01,362.40,refunded
o28,4,2025-04-04,373.60,completed
o5,1,2025-01-06,77.20,completed
o29,999,2025-02-01,145.00,completed
o30,2,not-a-real-date,88.00,completed
o31,3,2025-02-03,-52.00,completed
o32,4,2025-02-04,0.00,completed
o33,5,2025-02-05,210.00,chargeback
o34,6,2025-02-06,40.00,completed
