order_id,customer_id,order_date,amount,status
o1,1,2025-01-04,99.35,completed
o2,2,2025-02-07,113.70,completed
o3,3,2025-03-10,128.05,completed
o4,4,2025-04-13,142.40,refunded
o5,5,2025-05-16,156.75,cancelled
o6,6,2025-06-19,171.10,completed
o7,7,2025-01-22,185.45,completed
o8,8,2025-02-25,199.80,completed
o9,1,2025-03-01,214.15,completed
o10,2,2025-04-04,228.50,refunded
o11,3,2025-05-07,242.85,cancelled
o12,4,2025-06-10,257.20,completed
o13,5,2025-01-13,271.55,completed
o14,6,2025-02-16,285.90,completed
o15,7,2025-03-19,300.25,completed
o16,8,2025-04-22,314.60,refunded
o17,1,2025-05-25,328.95,cancelled
o18,2,2025-06-01,343.30,completed
o19,3,2025-01-04,357.65,completed
o20,4,2025-02-07,372.00,completed
o21,5,2025-03-10,386.35,completed
o22,6,2025-04-13,400.70,refunded
o23,7,2025-05-16,415.05,cancelled
o24,8,2025-06-19,429.40,completed
o25,1,2025-01-22,443.75,completed
o26,2,2025-02-25,458.10,completed
o27,3,2025-03-01,472.45,completed
o28,4,2025-04-04,486.80,refunded
o29,5,2025-05-07,501.15,cancelled
o30,6,2025-06-10,515.50,completed
o31,7,2025-01-13,529.85,completed
o32,8,2025-02-16,544.20,completed
o33,1,2025-03-19,558.55,completed
o34,2,2025-04-22,572.90,refunded
o35,3,2025-05-25,587.25,cancelled
o36,4,2025-06-01,601.60,completed
o37,5,2025-01-04,615.95,completed
o38,6,2025-02-07,630.30,completed
o39,7,2025-03-10,644.65,completed
o40,8,2025-04-13,659.00,refunded
o41,1,2025-05-16,673.35,cancelled
o42,2,2025-06-19,687.70,completed
