order_id,customer_id,order_date,amount,status
o1,1,2025-01-04,79.40,completed
o2,2,2025-02-07,88.80,completed
o3,3,2025-03-10,98.20,completed
o4,4,2025-04-13,107.60,completed
o5,5,2025-05-16,117.00,completed
o6,6,2025-06-19,126.40,completed
o7,7,2025-01-22,135.80,completed
o8,8,2025-02-25,145.20,completed
o9,1,2025-03-01,154.60,completed
o10,2,2025-04-04,164.00,completed
o11,3,2025-05-07,173.40,completed
o12,4,2025-06-10,182.80,completed
o13,5,2025-01-13,192.20,completed
o14,6,2025-02-16,201.60,completed
o15,7,2025-03-19,211.00,completed
o16,8,2025-04-22,220.40,completed
o17,1,2025-05-25,229.80,completed
o18,2,2025-06-01,239.20,completed
o19,3,2025-01-04,248.60,completed
o20,4,2025-02-07,258.00,completed
o21,5,2025-03-10,267.40,completed
o22,6,2025-04-13,276.80,completed
o23,7,2025-05-16,286.20,completed
o24,8,2025-06-19,295.60,completed
